model,id,Task-ID,domain,response_type,sequence,task,choices,truth,prediction,hit,type,task_enc,truth_enc,prediction_enc
RandomModel,1,60,spatial-relational,verify,43,Right;B;A/Right;D;C/Right;B;C,Left;A;D,False,False,1,adaption,,,
RandomModel,1,109,spatial-relational,verify,44,Right;C;B/Right;B;A/Right;D;C,Right;D;A,True,True,1,adaption,,,
RandomModel,1,207,spatial-relational,verify,45,Right;D;C/Right;B;A/Right;C;B,Right;A;B,False,True,0,adaption,,,
RandomModel,1,163,spatial-relational,verify,46,Left;B;C/Left;A;B/Left;C;D,Right;A;B,False,True,0,adaption,,,
RandomModel,1,17,spatial-relational,verify,47,Left;A;B/Left;B;C/Left;C;D,Left;A;D,True,True,1,adaption,,,
RandomModel,1,160,spatial-relational,verify,48,Right;D;C/Right;C;B/Right;B;A,Left;D;A,False,False,1,adaption,,,
RandomModel,2,162,spatial-relational,verify,1,Left;A;B/Left;C;D/Left;B;C,Right;A;B,False,False,1,adaption,,,
RandomModel,2,205,spatial-relational,verify,2,Right;C;B/Right;B;A/Right;D;C,Right;A;B,True,True,1,adaption,,,
RandomModel,2,67,spatial-relational,verify,3,Left;B;C/Left;A;B/Left;C;D,Right;D;A,True,True,1,adaption,,,
RandomModel,2,164,spatial-relational,verify,4,Left;B;C/Left;C;D/Left;A;B,Right;A;B,False,False,1,adaption,,,
RandomModel,2,113,spatial-relational,verify,5,Left;A;B/Left;B;C/Left;C;D,Left;D;A,True,True,1,adaption,,,
RandomModel,2,116,spatial-relational,verify,6,Left;B;C/Left;C;D/Left;A;B,Left;D;A,True,False,0,adaption,,,
RandomModel,2,110,spatial-relational,verify,7,Right;C;B/Right;D;C/Right;B;A,Right;D;A,True,True,1,adaption,,,
RandomModel,2,64,spatial-relational,verify,8,Right;D;C/Right;C;B/Right;B;A,Left;A;D,False,False,1,adaption,,,
RandomModel,2,159,spatial-relational,verify,9,Right;D;C/Right;B;A/Right;C;B,Left;D;A,True,False,0,adaption,,,
RandomModel,2,157,spatial-relational,verify,10,Right;C;B/Right;B;A/Right;D;C,Left;D;A,False,False,1,adaption,,,
RandomModel,2,63,spatial-relational,verify,11,Right;D;C/Right;B;A/Right;C;B,Left;A;D,False,True,0,adaption,,,
RandomModel,2,158,spatial-relational,verify,12,Right;C;B/Right;D;C/Right;B;A,Left;D;A,True,False,0,adaption,,,
RandomModel,2,112,spatial-relational,verify,13,Right;D;C/Right;C;B/Right;B;A,Right;D;A,False,False,1,adaption,,,
RandomModel,2,161,spatial-relational,verify,14,Left;A;B/Left;B;C/Left;C;D,Right;A;B,True,False,0,adaption,,,
RandomModel,2,160,spatial-relational,verify,15,Right;D;C/Right;C;B/Right;B;A,Left;D;A,True,True,1,adaption,,,
RandomModel,2,117,spatial-relational,verify,16,Left;C;D/Left;A;B/Left;B;C,Left;D;A,False,False,1,adaption,,,
RandomModel,2,166,spatial-relational,verify,17,Left;C;D/Left;B;C/Left;A;B,Right;A;B,False,True,0,adaption,,,
RandomModel,2,19,spatial-relational,verify,18,Left;B;C/Left;A;B/Left;C;D,Left;A;D,False,True,0,adaption,,,
RandomModel,2,21,spatial-relational,verify,19,Left;C;D/Left;A;B/Left;B;C,Left;A;D,False,True,0,adaption,,,
RandomModel,2,208,spatial-relational,verify,20,Right;D;C/Right;C;B/Right;B;A,Right;A;B,False,True,0,adaption,,,
RandomModel,2,109,spatial-relational,verify,21,Right;C;B/Right;B;A/Right;D;C,Right;D;A,True,True,1,adaption,,,
RandomModel,2,62,spatial-relational,verify,22,Right;C;B/Right;D;C/Right;B;A,Left;A;D,True,False,0,adaption,,,
RandomModel,2,61,spatial-relational,verify,23,Right;C;B/Right;B;A/Right;D;C,Left;A;D,True,True,1,adaption,,,
RandomModel,2,22,spatial-relational,verify,24,Left;C;D/Left;B;C/Left;A;B,Left;A;D,True,False,0,adaption,,,
RandomModel,2,68,spatial-relational,verify,25,Left;B;C/Left;C;D/Left;A;B,Right;D;A,True,True,1,adaption,,,
RandomModel,2,204,spatial-relational,verify,26,Right;B;A/Right;D;C/Right;B;C,Right;A;B,False,True,0,adaption,,,
RandomModel,2,156,spatial-relational,verify,27,Right;B;A/Right;D;C/Right;B;C,Left;D;A,False,False,1,adaption,,,
RandomModel,2,60,spatial-relational,verify,28,Right;B;A/Right;D;C/Right;B;C,Left;A;D,True,True,1,adaption,,,
RandomModel,2,165,spatial-relational,verify,29,Left;C;D/Left;A;B/Left;B;C,Right;A;B,False,True,0,adaption,,,
RandomModel,2,203,spatial-relational,verify,30,Right;B;A/Right;C;B/Right;D;C,Right;A;B,False,False,1,adaption,,,
RandomModel,2,155,spatial-relational,verify,31,Right;B;A/Right;C;B/Right;D;C,Left;D;A,True,True,1,adaption,,,
RandomModel,2,115,spatial-relational,verify,32,Left;B;C/Left;A;B/Left;C;D,Left;D;A,True,False,0,adaption,,,
RandomModel,2,65,spatial-relational,verify,33,Left;A;B/Left;B;C/Left;C;D,Right;D;A,True,False,0,adaption,,,
RandomModel,2,70,spatial-relational,verify,34,Left;C;D/Left;B;C/Left;A;B,Right;D;A,True,True,1,adaption,,,
RandomModel,2,206,spatial-relational,verify,35,Right;C;B/Right;D;C/Right;B;A,Right;A;B,False,True,0,adaption,,,
RandomModel,2,207,spatial-relational,verify,36,Right;D;C/Right;B;A/Right;C;B,Right;A;B,False,False,1,adaption,,,
RandomModel,2,107,spatial-relational,verify,37,Right;B;A/Right;C;B/Right;D;C,Right;D;A,True,False,0,adaption,,,
RandomModel,2,108,spatial-relational,verify,38,Right;B;A/Right;D;C/Right;B;C,Right;D;A,False,True,0,adaption,,,
RandomModel,2,114,spatial-relational,verify,39,Left;A;B/Left;C;D/Left;B;C,Left;D;A,False,False,1,adaption,,,
RandomModel,2,163,spatial-relational,verify,40,Left;B;C/Left;A;B/Left;C;D,Right;A;B,False,False,1,adaption,,,
RandomModel,2,66,spatial-relational,verify,41,Left;A;B/Left;C;D/Left;B;C,Right;D;A,True,True,1,adaption,,,
RandomModel,2,118,spatial-relational,verify,42,Left;C;D/Left;B;C/Left;A;B,Left;D;A,False,True,0,adaption,,,
RandomModel,2,59,spatial-relational,verify,43,Right;B;A/Right;C;B/Right;D;C,Left;A;D,True,True,1,adaption,,,
RandomModel,2,69,spatial-relational,verify,44,Left;C;D/Left;A;B/Left;B;C,Right;D;A,True,False,0,adaption,,,
RandomModel,2,18,spatial-relational,verify,45,Left;A;B/Left;C;D/Left;B;C,Left;A;D,False,False,1,adaption,,,
RandomModel,2,17,spatial-relational,verify,46,Left;A;B/Left;B;C/Left;C;D,Left;A;D,True,False,0,adaption,,,
RandomModel,2,111,spatial-relational,verify,47,Right;D;C/Right;B;A/Right;C;B,Right;D;A,False,False,1,adaption,,,
RandomModel,2,20,spatial-relational,verify,48,Left;B;C/Left;C;D/Left;A;B,Left;A;D,False,False,1,adaption,,,
RandomModel,3,206,spatial-relational,verify,1,Right;C;B/Right;D;C/Right;B;A,Right;A;B,False,False,1,adaption,,,
RandomModel,3,63,spatial-relational,verify,2,Right;D;C/Right;B;A/Right;C;B,Left;A;D,True,False,0,adaption,,,
RandomModel,3,19,spatial-relational,verify,3,Left;B;C/Left;A;B/Left;C;D,Left;A;D,True,False,0,adaption,,,
RandomModel,3,204,spatial-relational,verify,4,Right;B;A/Right;D;C/Right;B;C,Right;A;B,False,False,1,adaption,,,
RandomModel,3,118,spatial-relational,verify,5,Left;C;D/Left;B;C/Left;A;B,Left;D;A,False,False,1,adaption,,,
RandomModel,3,61,spatial-relational,verify,6,Right;C;B/Right;B;A/Right;D;C,Left;A;D,True,False,0,adaption,,,
RandomModel,3,158,spatial-relational,verify,7,Right;C;B/Right;D;C/Right;B;A,Left;D;A,False,False,1,adaption,,,
RandomModel,3,109,spatial-relational,verify,8,Right;C;B/Right;B;A/Right;D;C,Right;D;A,True,False,0,adaption,,,
RandomModel,3,155,spatial-relational,verify,9,Right;B;A/Right;C;B/Right;D;C,Left;D;A,False,True,0,adaption,,,
RandomModel,3,165,spatial-relational,verify,10,Left;C;D/Left;A;B/Left;B;C,Right;A;B,False,True,0,adaption,,,
RandomModel,3,166,spatial-relational,verify,11,Left;C;D/Left;B;C/Left;A;B,Right;A;B,False,False,1,adaption,,,
RandomModel,3,110,spatial-relational,verify,12,Right;C;B/Right;D;C/Right;B;A,Right;D;A,True,True,1,adaption,,,
RandomModel,3,162,spatial-relational,verify,13,Left;A;B/Left;C;D/Left;B;C,Right;A;B,False,False,1,adaption,,,
RandomModel,3,111,spatial-relational,verify,14,Right;D;C/Right;B;A/Right;C;B,Right;D;A,True,False,0,adaption,,,
RandomModel,3,66,spatial-relational,verify,15,Left;A;B/Left;C;D/Left;B;C,Right;D;A,True,False,0,adaption,,,
RandomModel,3,18,spatial-relational,verify,16,Left;A;B/Left;C;D/Left;B;C,Left;A;D,True,False,0,adaption,,,
RandomModel,3,207,spatial-relational,verify,17,Right;D;C/Right;B;A/Right;C;B,Right;A;B,False,False,1,adaption,,,
RandomModel,4,68,spatial-relational,verify,1,Left;B;C/Left;C;D/Left;A;B,Right;D;A,False,False,1,adaption,,,
RandomModel,4,208,spatial-relational,verify,2,Right;D;C/Right;C;B/Right;B;A,Right;A;B,False,True,0,adaption,,,
RandomModel,4,70,spatial-relational,verify,3,Left;C;D/Left;B;C/Left;A;B,Right;D;A,True,True,1,adaption,,,
RandomModel,4,159,spatial-relational,verify,4,Right;D;C/Right;B;A/Right;C;B,Left;D;A,False,True,0,adaption,,,
RandomModel,4,17,spatial-relational,verify,5,Left;A;B/Left;B;C/Left;C;D,Left;A;D,True,True,1,adaption,,,
RandomModel,4,18,spatial-relational,verify,6,Left;A;B/Left;C;D/Left;B;C,Left;A;D,True,False,0,adaption,,,
RandomModel,4,162,spatial-relational,verify,7,Left;A;B/Left;C;D/Left;B;C,Right;A;B,False,True,0,adaption,,,
RandomModel,4,65,spatial-relational,verify,8,Left;A;B/Left;B;C/Left;C;D,Right;D;A,False,True,0,adaption,,,
RandomModel,4,205,spatial-relational,verify,9,Right;C;B/Right;B;A/Right;D;C,Right;A;B,True,False,0,adaption,,,
RandomModel,4,21,spatial-relational,verify,10,Left;C;D/Left;A;B/Left;B;C,Left;A;D,True,True,1,adaption,,,
RandomModel,4,107,spatial-relational,verify,11,Right;B;A/Right;C;B/Right;D;C,Right;D;A,True,False,0,adaption,,,
RandomModel,4,164,spatial-relational,verify,12,Left;B;C/Left;C;D/Left;A;B,Right;A;B,False,True,0,adaption,,,
RandomModel,4,109,spatial-relational,verify,13,Right;C;B/Right;B;A/Right;D;C,Right;D;A,True,True,1,adaption,,,
RandomModel,4,156,spatial-relational,verify,14,Right;B;A/Right;D;C/Right;B;C,Left;D;A,False,True,0,adaption,,,
RandomModel,4,112,spatial-relational,verify,15,Right;D;C/Right;C;B/Right;B;A,Right;D;A,True,True,1,adaption,,,
RandomModel,4,114,spatial-relational,verify,16,Left;A;B/Left;C;D/Left;B;C,Left;D;A,False,True,0,adaption,,,
RandomModel,4,163,spatial-relational,verify,17,Left;B;C/Left;A;B/Left;C;D,Right;A;B,False,True,0,adaption,,,
RandomModel,4,60,spatial-relational,verify,18,Right;B;A/Right;D;C/Right;B;C,Left;A;D,False,True,0,adaption,,,
RandomModel,4,20,spatial-relational,verify,19,Left;B;C/Left;C;D/Left;A;B,Left;A;D,False,True,0,adaption,,,
RandomModel,4,158,spatial-relational,verify,20,Right;C;B/Right;D;C/Right;B;A,Left;D;A,False,True,0,adaption,,,
RandomModel,4,204,spatial-relational,verify,21,Right;B;A/Right;D;C/Right;B;C,Right;A;B,False,False,1,adaption,,,
RandomModel,4,110,spatial-relational,verify,22,Right;C;B/Right;D;C/Right;B;A,Right;D;A,True,False,0,adaption,,,
RandomModel,4,160,spatial-relational,verify,23,Right;D;C/Right;C;B/Right;B;A,Left;D;A,False,False,1,adaption,,,
RandomModel,4,166,spatial-relational,verify,24,Left;C;D/Left;B;C/Left;A;B,Right;A;B,False,False,1,adaption,,,
RandomModel,4,118,spatial-relational,verify,25,Left;C;D/Left;B;C/Left;A;B,Left;D;A,True,False,0,adaption,,,
RandomModel,4,108,spatial-relational,verify,26,Right;B;A/Right;D;C/Right;B;C,Right;D;A,False,True,0,adaption,,,
RandomModel,4,117,spatial-relational,verify,27,Left;C;D/Left;A;B/Left;B;C,Left;D;A,True,False,0,adaption,,,
RandomModel,4,69,spatial-relational,verify,28,Left;C;D/Left;A;B/Left;B;C,Right;D;A,False,False,1,adaption,,,
RandomModel,4,19,spatial-relational,verify,29,Left;B;C/Left;A;B/Left;C;D,Left;A;D,True,False,0,adaption,,,
RandomModel,4,206,spatial-relational,verify,30,Right;C;B/Right;D;C/Right;B;A,Right;A;B,True,True,1,adaption,,,
RandomModel,4,111,spatial-relational,verify,31,Right;D;C/Right;B;A/Right;C;B,Right;D;A,True,False,0,adaption,,,
RandomModel,4,62,spatial-relational,verify,32,Right;C;B/Right;D;C/Right;B;A,Left;A;D,False,True,0,adaption,,,
RandomModel,4,66,spatial-relational,verify,33,Left;A;B/Left;C;D/Left;B;C,Right;D;A,False,True,0,adaption,,,
RandomModel,4,113,spatial-relational,verify,34,Left;A;B/Left;B;C/Left;C;D,Left;D;A,False,True,0,adaption,,,
RandomModel,4,161,spatial-relational,verify,35,Left;A;B/Left;B;C/Left;C;D,Right;A;B,False,False,1,adaption,,,
RandomModel,4,67,spatial-relational,verify,36,Left;B;C/Left;A;B/Left;C;D,Right;D;A,False,True,0,adaption,,,
RandomModel,4,59,spatial-relational,verify,37,Right;B;A/Right;C;B/Right;D;C,Left;A;D,False,False,1,adaption,,,
RandomModel,4,165,spatial-relational,verify,38,Left;C;D/Left;A;B/Left;B;C,Right;A;B,False,False,1,adaption,,,
RandomModel,4,22,spatial-relational,verify,39,Left;C;D/Left;B;C/Left;A;B,Left;A;D,True,False,0,adaption,,,
RandomModel,4,203,spatial-relational,verify,40,Right;B;A/Right;C;B/Right;D;C,Right;A;B,True,True,1,adaption,,,
RandomModel,4,155,spatial-relational,verify,41,Right;B;A/Right;C;B/Right;D;C,Left;D;A,False,False,1,adaption,,,
RandomModel,4,207,spatial-relational,verify,42,Right;D;C/Right;B;A/Right;C;B,Right;A;B,True,True,1,adaption,,,
RandomModel,4,63,spatial-relational,verify,43,Right;D;C/Right;B;A/Right;C;B,Left;A;D,False,False,1,adaption,,,
RandomModel,4,61,spatial-relational,verify,44,Right;C;B/Right;B;A/Right;D;C,Left;A;D,True,False,0,adaption,,,
RandomModel,4,157,spatial-relational,verify,45,Right;C;B/Right;B;A/Right;D;C,Left;D;A,False,True,0,adaption,,,
RandomModel,4,116,spatial-relational,verify,46,Left;B;C/Left;C;D/Left;A;B,Left;D;A,True,False,0,adaption,,,
RandomModel,4,115,spatial-relational,verify,47,Left;B;C/Left;A;B/Left;C;D,Left;D;A,True,False,0,adaption,,,
RandomModel,4,64,spatial-relational,verify,48,Right;D;C/Right;C;B/Right;B;A,Left;A;D,False,True,0,adaption,,,
RandomModel,5,64,spatial-relational,verify,1,Right;D;C/Right;C;B/Right;B;A,Left;A;D,True,False,0,adaption,,,
RandomModel,5,63,spatial-relational,verify,2,Right;D;C/Right;B;A/Right;C;B,Left;A;D,True,True,1,adaption,,,
RandomModel,5,117,spatial-relational,verify,3,Left;C;D/Left;A;B/Left;B;C,Left;D;A,False,True,0,adaption,,,
RandomModel,5,62,spatial-relational,verify,4,Right;C;B/Right;D;C/Right;B;A,Left;A;D,False,True,0,adaption,,,
RandomModel,5,60,spatial-relational,verify,5,Right;B;A/Right;D;C/Right;B;C,Left;A;D,True,False,0,adaption,,,
RandomModel,5,108,spatial-relational,verify,6,Right;B;A/Right;D;C/Right;B;C,Right;D;A,True,True,1,adaption,,,
RandomModel,5,155,spatial-relational,verify,7,Right;B;A/Right;C;B/Right;D;C,Left;D;A,False,True,0,adaption,,,
RandomModel,5,21,spatial-relational,verify,8,Left;C;D/Left;A;B/Left;B;C,Left;A;D,True,False,0,adaption,,,
RandomModel,5,109,spatial-relational,verify,9,Right;C;B/Right;B;A/Right;D;C,Right;D;A,True,False,0,adaption,,,
RandomModel,5,59,spatial-relational,verify,10,Right;B;A/Right;C;B/Right;D;C,Left;A;D,True,True,1,adaption,,,
RandomModel,5,159,spatial-relational,verify,11,Right;D;C/Right;B;A/Right;C;B,Left;D;A,True,True,1,adaption,,,
RandomModel,5,107,spatial-relational,verify,12,Right;B;A/Right;C;B/Right;D;C,Right;D;A,True,False,0,adaption,,,
RandomModel,5,164,spatial-relational,verify,13,Left;B;C/Left;C;D/Left;A;B,Right;A;B,True,True,1,adaption,,,
RandomModel,5,205,spatial-relational,verify,14,Right;C;B/Right;B;A/Right;D;C,Right;A;B,False,False,1,adaption,,,
RandomModel,5,165,spatial-relational,verify,15,Left;C;D/Left;A;B/Left;B;C,Right;A;B,True,True,1,adaption,,,
RandomModel,5,22,spatial-relational,verify,16,Left;C;D/Left;B;C/Left;A;B,Left;A;D,True,False,0,adaption,,,
RandomModel,5,115,spatial-relational,verify,17,Left;B;C/Left;A;B/Left;C;D,Left;D;A,True,False,0,adaption,,,
RandomModel,5,204,spatial-relational,verify,18,Right;B;A/Right;D;C/Right;B;C,Right;A;B,True,False,0,adaption,,,
RandomModel,5,163,spatial-relational,verify,19,Left;B;C/Left;A;B/Left;C;D,Right;A;B,True,True,1,adaption,,,
RandomModel,5,161,spatial-relational,verify,20,Left;A;B/Left;B;C/Left;C;D,Right;A;B,True,True,1,adaption,,,
RandomModel,5,112,spatial-relational,verify,21,Right;D;C/Right;C;B/Right;B;A,Right;D;A,True,False,0,adaption,,,
RandomModel,5,158,spatial-relational,verify,22,Right;C;B/Right;D;C/Right;B;A,Left;D;A,False,True,0,adaption,,,
RandomModel,5,203,spatial-relational,verify,23,Right;B;A/Right;C;B/Right;D;C,Right;A;B,False,False,1,adaption,,,
RandomModel,5,65,spatial-relational,verify,24,Left;A;B/Left;B;C/Left;C;D,Right;D;A,False,False,1,adaption,,,
RandomModel,5,206,spatial-relational,verify,25,Right;C;B/Right;D;C/Right;B;A,Right;A;B,False,True,0,adaption,,,
RandomModel,5,160,spatial-relational,verify,26,Right;D;C/Right;C;B/Right;B;A,Left;D;A,True,False,0,adaption,,,
RandomModel,5,67,spatial-relational,verify,27,Left;B;C/Left;A;B/Left;C;D,Right;D;A,True,True,1,adaption,,,
RandomModel,5,20,spatial-relational,verify,28,Left;B;C/Left;C;D/Left;A;B,Left;A;D,True,False,0,adaption,,,
RandomModel,5,110,spatial-relational,verify,29,Right;C;B/Right;D;C/Right;B;A,Right;D;A,True,True,1,adaption,,,
RandomModel,5,66,spatial-relational,verify,30,Left;A;B/Left;C;D/Left;B;C,Right;D;A,True,False,0,adaption,,,
RandomModel,5,118,spatial-relational,verify,31,Left;C;D/Left;B;C/Left;A;B,Left;D;A,True,True,1,adaption,,,
RandomModel,5,69,spatial-relational,verify,32,Left;C;D/Left;A;B/Left;B;C,Right;D;A,False,True,0,adaption,,,
RandomModel,5,61,spatial-relational,verify,33,Right;C;B/Right;B;A/Right;D;C,Left;A;D,True,False,0,adaption,,,
RandomModel,5,166,spatial-relational,verify,34,Left;C;D/Left;B;C/Left;A;B,Right;A;B,False,False,1,adaption,,,
RandomModel,5,208,spatial-relational,verify,35,Right;D;C/Right;C;B/Right;B;A,Right;A;B,True,True,1,adaption,,,
RandomModel,5,157,spatial-relational,verify,36,Right;C;B/Right;B;A/Right;D;C,Left;D;A,False,False,1,adaption,,,
RandomModel,5,111,spatial-relational,verify,37,Right;D;C/Right;B;A/Right;C;B,Right;D;A,True,False,0,adaption,,,
RandomModel,5,162,spatial-relational,verify,38,Left;A;B/Left;C;D/Left;B;C,Right;A;B,False,False,1,adaption,,,
RandomModel,5,116,spatial-relational,verify,39,Left;B;C/Left;C;D/Left;A;B,Left;D;A,True,True,1,adaption,,,
RandomModel,5,207,spatial-relational,verify,40,Right;D;C/Right;B;A/Right;C;B,Right;A;B,True,True,1,adaption,,,
RandomModel,5,114,spatial-relational,verify,41,Left;A;B/Left;C;D/Left;B;C,Left;D;A,True,False,0,adaption,,,
RandomModel,5,70,spatial-relational,verify,42,Left;C;D/Left;B;C/Left;A;B,Right;D;A,True,True,1,adaption,,,
RandomModel,5,18,spatial-relational,verify,43,Left;A;B/Left;C;D/Left;B;C,Left;A;D,False,True,0,adaption,,,
RandomModel,5,68,spatial-relational,verify,44,Left;B;C/Left;C;D/Left;A;B,Right;D;A,False,True,0,adaption,,,
RandomModel,5,17,spatial-relational,verify,45,Left;A;B/Left;B;C/Left;C;D,Left;A;D,False,True,0,adaption,,,
RandomModel,5,113,spatial-relational,verify,46,Left;A;B/Left;B;C/Left;C;D,Left;D;A,True,False,0,adaption,,,
RandomModel,5,19,spatial-relational,verify,47,Left;B;C/Left;A;B/Left;C;D,Left;A;D,True,False,0,adaption,,,
RandomModel,5,156,spatial-relational,verify,48,Right;B;A/Right;D;C/Right;B;C,Left;D;A,True,True,1,adaption,,,
RandomModel,6,110,spatial-relational,verify,1,Right;C;B/Right;D;C/Right;B;A,Right;D;A,True,True,1,adaption,,,
RandomModel,6,68,spatial-relational,verify,2,Left;B;C/Left;C;D/Left;A;B,Right;D;A,True,True,1,adaption,,,
RandomModel,6,206,spatial-relational,verify,3,Right;C;B/Right;D;C/Right;B;A,Right;A;B,False,False,1,adaption,,,
RandomModel,6,63,spatial-relational,verify,4,Right;D;C/Right;B;A/Right;C;B,Left;A;D,True,True,1,adaption,,,
RandomModel,6,204,spatial-relational,verify,5,Right;B;A/Right;D;C/Right;B;C,Right;A;B,False,True,0,adaption,,,
RandomModel,6,61,spatial-relational,verify,6,Right;C;B/Right;B;A/Right;D;C,Left;A;D,True,True,1,adaption,,,
RandomModel,6,21,spatial-relational,verify,7,Left;C;D/Left;A;B/Left;B;C,Left;A;D,False,False,1,adaption,,,
RandomModel,6,165,spatial-relational,verify,8,Left;C;D/Left;A;B/Left;B;C,Right;A;B,False,True,0,adaption,,,
RandomModel,6,160,spatial-relational,verify,9,Right;D;C/Right;C;B/Right;B;A,Left;D;A,False,False,1,adaption,,,
RandomModel,6,158,spatial-relational,verify,10,Right;C;B/Right;D;C/Right;B;A,Left;D;A,False,True,0,adaption,,,
RandomModel,6,66,spatial-relational,verify,11,Left;A;B/Left;C;D/Left;B;C,Right;D;A,True,False,0,adaption,,,
