model,id,Task-ID,domain,response_type,sequence,task,choices,truth,prediction,hit,type,task_enc,truth_enc,prediction_enc
RandomModel,5,10,spatial-relational,verify,2,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,5,6,spatial-relational,verify,3,Left;A;B/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,5,12,spatial-relational,verify,4,Right;B;A/Right;C;B,Left;C;A,True,False,0,adaption,,,
RandomModel,5,15,spatial-relational,verify,5,Right;B;A/Left;B;C,Right;A;C,True,True,1,adaption,,,
RandomModel,5,16,spatial-relational,verify,6,Right;B;A/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,5,7,spatial-relational,verify,7,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,5,9,spatial-relational,verify,8,Left;A;B/Left;B;C,Left;C;A,True,False,0,adaption,,,
RandomModel,5,14,spatial-relational,verify,9,Left;A;B/Right;C;B,Right;A;C,True,True,1,adaption,,,
RandomModel,5,1,spatial-relational,verify,10,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,5,2,spatial-relational,verify,11,Left;A;B/Right;C;B,Left;A;C,False,False,1,adaption,,,
RandomModel,5,11,spatial-relational,verify,12,Right;B;A/Left;B;C,Left;C;A,True,False,0,adaption,,,
RandomModel,5,3,spatial-relational,verify,13,Right;B;A/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,5,8,spatial-relational,verify,14,Right;B;A/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,5,4,spatial-relational,verify,15,Right;B;A/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,5,5,spatial-relational,verify,16,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,6,11,spatial-relational,verify,1,Right;B;A/Left;B;C,Left;C;A,True,False,0,adaption,,,
RandomModel,6,13,spatial-relational,verify,2,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,6,5,spatial-relational,verify,3,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,6,1,spatial-relational,verify,4,Left;A;B/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,6,3,spatial-relational,verify,5,Right;B;A/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,6,10,spatial-relational,verify,6,Left;A;B/Right;C;B,Left;C;A,False,False,1,adaption,,,
RandomModel,6,15,spatial-relational,verify,7,Right;B;A/Left;B;C,Right;A;C,False,False,1,adaption,,,
RandomModel,6,9,spatial-relational,verify,8,Left;A;B/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,6,6,spatial-relational,verify,9,Left;A;B/Right;C;B,Right;C;A,False,False,1,adaption,,,
RandomModel,6,14,spatial-relational,verify,10,Left;A;B/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,6,12,spatial-relational,verify,11,Right;B;A/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,6,16,spatial-relational,verify,12,Right;B;A/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,6,8,spatial-relational,verify,13,Right;B;A/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,6,2,spatial-relational,verify,14,Left;A;B/Right;C;B,Left;A;C,True,False,0,adaption,,,
RandomModel,6,7,spatial-relational,verify,15,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,6,4,spatial-relational,verify,16,Right;B;A/Right;C;B,Left;A;C,True,False,0,adaption,,,
RandomModel,7,4,spatial-relational,verify,1,Right;B;A/Right;C;B,Left;A;C,False,True,0,adaption,,,
RandomModel,7,6,spatial-relational,verify,2,Left;A;B/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,7,16,spatial-relational,verify,3,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,7,10,spatial-relational,verify,4,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,7,5,spatial-relational,verify,5,Left;A;B/Left;B;C,Right;C;A,False,True,0,adaption,,,
RandomModel,7,7,spatial-relational,verify,6,Right;B;A/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,7,9,spatial-relational,verify,7,Left;A;B/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,7,3,spatial-relational,verify,8,Right;B;A/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,7,13,spatial-relational,verify,9,Left;A;B/Left;B;C,Right;A;C,True,True,1,adaption,,,
RandomModel,7,2,spatial-relational,verify,10,Left;A;B/Right;C;B,Left;A;C,False,True,0,adaption,,,
RandomModel,7,12,spatial-relational,verify,11,Right;B;A/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,7,11,spatial-relational,verify,12,Right;B;A/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,7,8,spatial-relational,verify,13,Right;B;A/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,7,14,spatial-relational,verify,14,Left;A;B/Right;C;B,Right;A;C,True,True,1,adaption,,,
RandomModel,7,1,spatial-relational,verify,15,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,7,15,spatial-relational,verify,16,Right;B;A/Left;B;C,Right;A;C,True,False,0,adaption,,,
RandomModel,8,11,spatial-relational,verify,1,Right;B;A/Left;B;C,Left;C;A,True,False,0,adaption,,,
RandomModel,8,14,spatial-relational,verify,2,Left;A;B/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,8,6,spatial-relational,verify,3,Left;A;B/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,8,5,spatial-relational,verify,4,Left;A;B/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,8,10,spatial-relational,verify,5,Left;A;B/Right;C;B,Left;C;A,False,False,1,adaption,,,
RandomModel,8,8,spatial-relational,verify,6,Right;B;A/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,8,4,spatial-relational,verify,7,Right;B;A/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,8,13,spatial-relational,verify,8,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,8,7,spatial-relational,verify,9,Right;B;A/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,8,12,spatial-relational,verify,10,Right;B;A/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,8,1,spatial-relational,verify,11,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,8,9,spatial-relational,verify,12,Left;A;B/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,8,3,spatial-relational,verify,13,Right;B;A/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,8,2,spatial-relational,verify,14,Left;A;B/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,8,15,spatial-relational,verify,15,Right;B;A/Left;B;C,Right;A;C,False,False,1,adaption,,,
RandomModel,8,16,spatial-relational,verify,16,Right;B;A/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,9,16,spatial-relational,verify,1,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,9,6,spatial-relational,verify,2,Left;A;B/Right;C;B,Right;C;A,False,False,1,adaption,,,
RandomModel,9,11,spatial-relational,verify,3,Right;B;A/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,9,9,spatial-relational,verify,4,Left;A;B/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,9,8,spatial-relational,verify,5,Right;B;A/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,9,7,spatial-relational,verify,6,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,9,4,spatial-relational,verify,7,Right;B;A/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,9,10,spatial-relational,verify,8,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,9,13,spatial-relational,verify,9,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,9,2,spatial-relational,verify,10,Left;A;B/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,9,14,spatial-relational,verify,11,Left;A;B/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,9,3,spatial-relational,verify,12,Right;B;A/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,9,5,spatial-relational,verify,13,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,9,12,spatial-relational,verify,14,Right;B;A/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,9,1,spatial-relational,verify,15,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,9,15,spatial-relational,verify,16,Right;B;A/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,10,9,spatial-relational,verify,1,Left;A;B/Left;B;C,Left;C;A,True,False,0,adaption,,,
RandomModel,10,14,spatial-relational,verify,2,Left;A;B/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,10,8,spatial-relational,verify,3,Right;B;A/Right;C;B,Right;C;A,False,False,1,adaption,,,
RandomModel,10,3,spatial-relational,verify,4,Right;B;A/Left;B;C,Left;A;C,False,False,1,adaption,,,
RandomModel,10,16,spatial-relational,verify,5,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,10,6,spatial-relational,verify,6,Left;A;B/Right;C;B,Right;C;A,False,True,0,adaption,,,
RandomModel,10,11,spatial-relational,verify,7,Right;B;A/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,10,7,spatial-relational,verify,8,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,10,13,spatial-relational,verify,9,Left;A;B/Left;B;C,Right;A;C,True,True,1,adaption,,,
RandomModel,10,5,spatial-relational,verify,10,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,10,4,spatial-relational,verify,11,Right;B;A/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,10,10,spatial-relational,verify,12,Left;A;B/Right;C;B,Left;C;A,True,True,1,adaption,,,
RandomModel,10,12,spatial-relational,verify,13,Right;B;A/Right;C;B,Left;C;A,False,False,1,adaption,,,
RandomModel,10,1,spatial-relational,verify,14,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,10,2,spatial-relational,verify,15,Left;A;B/Right;C;B,Left;A;C,False,True,0,adaption,,,
RandomModel,10,15,spatial-relational,verify,16,Right;B;A/Left;B;C,Right;A;C,True,False,0,adaption,,,
RandomModel,11,1,spatial-relational,verify,1,Left;A;B/Left;B;C,Left;A;C,False,False,1,adaption,,,
RandomModel,11,2,spatial-relational,verify,2,Left;A;B/Right;C;B,Left;A;C,False,True,0,adaption,,,
RandomModel,11,14,spatial-relational,verify,3,Left;A;B/Right;C;B,Right;A;C,True,True,1,adaption,,,
RandomModel,11,7,spatial-relational,verify,4,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,11,11,spatial-relational,verify,5,Right;B;A/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,11,16,spatial-relational,verify,6,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,11,8,spatial-relational,verify,7,Right;B;A/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,12,12,spatial-relational,verify,1,Right;B;A/Right;C;B,Left;C;A,False,False,1,adaption,,,
RandomModel,12,8,spatial-relational,verify,2,Right;B;A/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,12,11,spatial-relational,verify,3,Right;B;A/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,12,9,spatial-relational,verify,4,Left;A;B/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,12,7,spatial-relational,verify,5,Right;B;A/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,12,5,spatial-relational,verify,6,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,12,6,spatial-relational,verify,7,Left;A;B/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,12,3,spatial-relational,verify,8,Right;B;A/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,12,15,spatial-relational,verify,9,Right;B;A/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,12,10,spatial-relational,verify,10,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,12,14,spatial-relational,verify,11,Left;A;B/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,12,4,spatial-relational,verify,12,Right;B;A/Right;C;B,Left;A;C,True,False,0,adaption,,,
RandomModel,12,2,spatial-relational,verify,13,Left;A;B/Right;C;B,Left;A;C,True,False,0,adaption,,,
RandomModel,12,13,spatial-relational,verify,14,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,12,16,spatial-relational,verify,15,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,12,1,spatial-relational,verify,16,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,13,10,spatial-relational,verify,1,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,13,13,spatial-relational,verify,2,Left;A;B/Left;B;C,Right;A;C,False,False,1,adaption,,,
RandomModel,13,1,spatial-relational,verify,3,Left;A;B/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,13,11,spatial-relational,verify,4,Right;B;A/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,13,6,spatial-relational,verify,5,Left;A;B/Right;C;B,Right;C;A,False,True,0,adaption,,,
RandomModel,13,12,spatial-relational,verify,6,Right;B;A/Right;C;B,Left;C;A,True,False,0,adaption,,,
RandomModel,13,8,spatial-relational,verify,7,Right;B;A/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,13,7,spatial-relational,verify,8,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,13,4,spatial-relational,verify,9,Right;B;A/Right;C;B,Left;A;C,True,False,0,adaption,,,
RandomModel,13,14,spatial-relational,verify,10,Left;A;B/Right;C;B,Right;A;C,True,True,1,adaption,,,
RandomModel,13,3,spatial-relational,verify,11,Right;B;A/Left;B;C,Left;A;C,False,False,1,adaption,,,
RandomModel,13,2,spatial-relational,verify,12,Left;A;B/Right;C;B,Left;A;C,True,False,0,adaption,,,
RandomModel,13,16,spatial-relational,verify,13,Right;B;A/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,13,9,spatial-relational,verify,14,Left;A;B/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,13,15,spatial-relational,verify,15,Right;B;A/Left;B;C,Right;A;C,False,False,1,adaption,,,
RandomModel,13,5,spatial-relational,verify,16,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,14,3,spatial-relational,verify,1,Right;B;A/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,14,11,spatial-relational,verify,2,Right;B;A/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,14,12,spatial-relational,verify,3,Right;B;A/Right;C;B,Left;C;A,True,False,0,adaption,,,
RandomModel,14,13,spatial-relational,verify,4,Left;A;B/Left;B;C,Right;A;C,False,False,1,adaption,,,
RandomModel,14,8,spatial-relational,verify,5,Right;B;A/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,14,7,spatial-relational,verify,6,Right;B;A/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,14,4,spatial-relational,verify,7,Right;B;A/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,14,15,spatial-relational,verify,8,Right;B;A/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,14,6,spatial-relational,verify,9,Left;A;B/Right;C;B,Right;C;A,False,False,1,adaption,,,
RandomModel,14,10,spatial-relational,verify,10,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,14,16,spatial-relational,verify,11,Right;B;A/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,14,5,spatial-relational,verify,12,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,14,14,spatial-relational,verify,13,Left;A;B/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,14,1,spatial-relational,verify,14,Left;A;B/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,14,9,spatial-relational,verify,15,Left;A;B/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,14,2,spatial-relational,verify,16,Left;A;B/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,15,15,spatial-relational,verify,1,Right;B;A/Left;B;C,Right;A;C,True,True,1,adaption,,,
RandomModel,15,7,spatial-relational,verify,2,Right;B;A/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,15,1,spatial-relational,verify,3,Left;A;B/Left;B;C,Left;A;C,False,False,1,adaption,,,
RandomModel,15,12,spatial-relational,verify,4,Right;B;A/Right;C;B,Left;C;A,True,True,1,adaption,,,
RandomModel,15,5,spatial-relational,verify,5,Left;A;B/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,15,10,spatial-relational,verify,6,Left;A;B/Right;C;B,Left;C;A,True,True,1,adaption,,,
RandomModel,15,3,spatial-relational,verify,7,Right;B;A/Left;B;C,Left;A;C,False,False,1,adaption,,,
RandomModel,15,8,spatial-relational,verify,8,Right;B;A/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,15,11,spatial-relational,verify,9,Right;B;A/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,15,6,spatial-relational,verify,10,Left;A;B/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,15,13,spatial-relational,verify,11,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,15,9,spatial-relational,verify,12,Left;A;B/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,15,14,spatial-relational,verify,13,Left;A;B/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,15,16,spatial-relational,verify,14,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,15,4,spatial-relational,verify,15,Right;B;A/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,15,2,spatial-relational,verify,16,Left;A;B/Right;C;B,Left;A;C,False,True,0,adaption,,,
RandomModel,16,13,spatial-relational,verify,1,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,16,5,spatial-relational,verify,2,Left;A;B/Left;B;C,Right;C;A,False,True,0,adaption,,,
RandomModel,16,1,spatial-relational,verify,3,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,16,9,spatial-relational,verify,4,Left;A;B/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,16,3,spatial-relational,verify,5,Right;B;A/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,16,11,spatial-relational,verify,6,Right;B;A/Left;B;C,Left;C;A,True,True,1,adaption,,,
RandomModel,16,15,spatial-relational,verify,7,Right;B;A/Left;B;C,Right;A;C,False,False,1,adaption,,,
RandomModel,16,7,spatial-relational,verify,8,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,16,10,spatial-relational,verify,9,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,16,12,spatial-relational,verify,10,Right;B;A/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,16,2,spatial-relational,verify,11,Left;A;B/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,16,6,spatial-relational,verify,12,Left;A;B/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,16,8,spatial-relational,verify,13,Right;B;A/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,16,14,spatial-relational,verify,14,Left;A;B/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,16,16,spatial-relational,verify,15,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,16,4,spatial-relational,verify,16,Right;B;A/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,17,11,spatial-relational,verify,1,Right;B;A/Left;B;C,Left;C;A,False,True,0,adaption,,,
